0.7364,1.6702,-0.0224,-0.4741,0.2128,2010-07-22,2562.406
0.2584,1.7840,-0.3885,-0.4108,0.2989,2010-07-23,2572.028
0.4473,1.3476,-0.3020,-0.5686,0.1678,2010-07-26,2588.683
-0.3630,0.5471,-0.6534,-0.6190,0.1695,2010-07-27,2575.368
1.5588,1.1446,0.9496,-0.3013,0.0939,2010-07-28,2633.663
0.3787,0.9895,-0.3474,-0.2253,0.2763,2010-07-29,2648.116
-0.2834,0.7547,-0.4768,-0.5577,0.3883,2010-07-30,2637.503
0.9171,0.9584,-0.0456,-0.4215,0.4832,2010-08-02,2672.516
-1.2018,0.5947,0.3672,-0.3089,0.3862,2010-08-03,2627.002
0.3022,0.0500,0.1948,-0.4277,0.2627,2010-08-04,2638.522
-0.4746,-0.3200,-0.2924,-0.4173,0.3652,2010-08-05,2620.757
0.9918,0.2329,0.5588,-0.3617,0.3983,2010-08-06,2658.392
0.3671,-0.0056,-0.5714,-0.3689,0.1360,2010-08-09,2672.533
-2.0502,-0.3734,1.2120,-0.3161,0.1642,2010-08-10,2595.274
0.3247,-0.3636,-0.3332,-0.6165,0.1330,2010-08-11,2607.497
-0.8655,-0.5331,-0.1530,-0.5735,0.3920,2010-08-12,2575.475
0.8378,-0.5998,-0.0073,-0.6024,0.1854,2010-08-13,2606.7
1.4541,-0.1286,0.8160,-0.3247,0.2280,2010-08-16,2661.708
0.2634,0.8744,-0.6399,-0.3489,0.2632,2010-08-17,2671.893
-0.1494,0.6689,-0.3313,-0.2468,0.3851,2010-08-18,2666.301
0.5619,1.2876,-0.0423,-0.3054,0.4802,2010-08-19,2687.979
-1.1991,0.4046,0.0872,-0.3973,0.2975,2010-08-20,2642.307
-0.0809,-0.2608,-0.5422,-0.6075,0.3056,2010-08-23,2639.366
0.2855,-0.2512,0.2974,-0.4643,0.2486,2010-08-24,2650.307
-1.4324,-0.8074,0.2190,-0.4459,0.1385,2010-08-25,2596.58
0.1821,-0.9720,-0.5315,-0.6661,0.3129,2010-08-26,2603.481
0.1912,-0.3694,-0.5795,-0.7400,0.0805,2010-08-27,2610.742
1.1085,0.1462,-0.2280,-0.4400,0.1345,2010-08-30,2652.664
-0.3689,-0.1374,-0.7311,-0.4369,0.0167,2010-08-31,2638.798
-0.4253,0.2991,0.4877,-0.3149,0.0484,2010-09-01,2622.882
